MF Code,fund_house,s_name1,s_name,rupeevest_rating,rank_3year,ytd_returns,returns_1month,returns_6month,returns_3month,returns_1year,returns_3year,returns_5year,aumtotal,expenceratio,schemecode
Parag Parikh Flexi Cap Fund-Reg(G),PPFAS Mutual Fund,Parag Parikh Flexi Cap Fund-Reg(G),Parag Parikh Flexi Cap Fund-Reg(G),5,7,-1.43,1.42,0.21,0.78,13.74,18.55,28.64,93440.89,1.33,21520
Parag Parikh Flexi Cap Fund-Reg(G),Quant Mutual Fund,Quant Flexi Cap Fund(G),Quant Flexi Cap Fund(G),5,12,-0.09,4.87,-6.76,2.08,-2.16,16.98,34.89,6712.15,1.81,6305
Parag Parikh Flexi Cap Fund-Reg(G),HDFC Mutual Fund,HDFC Flexi Cap Fund(G),HDFC Flexi Cap Fund(G),3,2,3.57,4.67,1.96,6.71,18.15,22.69,31.1,69639.05,1.41,1131
Parag Parikh Flexi Cap Fund-Reg(G),Franklin Templeton Mutual Fund,Franklin India Flexi Cap Fund(G),Franklin India Flexi Cap Fund(G),4,8,-1.42,3.84,-2.58,3.8,11.56,18.53,28.55,17393.86,1.75,950
Parag Parikh Flexi Cap Fund-Reg(G),JM Financial Mutual Fund,JM Flexicap Fund-Reg(G),JM Flexicap Fund-Reg(G),3,1,-8.24,3.74,-7.97,-2.05,7.33,23.36,28.22,5263.18,1.81,6075
HDFC Mid-Cap Opportunities Fund(G),HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund(G),HDFC Mid-Cap Opportunities Fund(G),3,2,-5.89,2.49,-3.45,0.18,11.59,24.2,33.45,72610.08,1.42,1305
HDFC Mid-Cap Opportunities Fund(G),Motilal Oswal Mutual Fund,Motilal Oswal Midcap Fund-Reg(G),Motilal Oswal Midcap Fund-Reg(G),2,1,-16.01,1.33,-9.9,-2.49,15.16,26.35,36.58,26028.34,1.57,22533
HDFC Mid-Cap Opportunities Fund(G),Quant Mutual Fund,Quant Mid Cap Fund(G),Quant Mid Cap Fund(G),5,13,-3.31,3.51,-7.51,-0.64,-3.26,18.33,34.24,8355.95,1.77,887
HDFC Mid-Cap Opportunities Fund(G),Nippon India Mutual Fund,Nippon India Growth Fund(G),Nippon India Growth Fund(G),4,3,-4.58,4.67,-4.52,2.41,15.07,23.68,33.74,33174.74,1.58,2573
HDFC Mid-Cap Opportunities Fund(G),Edelweiss Mutual Fund,Edelweiss Mid Cap Fund-Reg(G),Edelweiss Mid Cap Fund-Reg(G),4,4,-6.58,4.11,-3.87,1.39,18.93,23.04,33.7,8633.85,1.7,3790
SBI Equity Hybrid Fund-Reg(G),SBI Mutual Fund,SBI Equity Hybrid Fund-Reg(G),SBI Equity Hybrid Fund-Reg(G),4,19,4.85,3.81,4.01,6.45,13.92,12.51,18.39,72555.11,1.4,2747
SBI Equity Hybrid Fund-Reg(G),JM Financial Mutual Fund,JM Aggressive Hybrid Fund(G),JM Aggressive Hybrid Fund(G),Unrated,3,-4.88,3.15,-6.22,1.41,7.03,20.73,28.06,767.72,2.29,1847
SBI Equity Hybrid Fund-Reg(G),Quant Mutual Fund,Quant Absolute Fund(G),Quant Absolute Fund(G),5,24,1.68,4.17,-4.33,2.63,-1.55,11.78,27.54,2000.44,2.05,865
SBI Equity Hybrid Fund-Reg(G),ICICI Prudential Mutual Fund,ICICI Pru Equity & Debt Fund(G),ICICI Pru Equity & Debt Fund(G),5,4,5.26,3.41,1.01,6.12,11.64,18.37,27.26,40961.7,1.59,1482
SBI Equity Hybrid Fund-Reg(G),Bank of India Mutual Fund,Bank of India Mid & Small Cap Equity & Debt Fund-Reg(G),Bank of India Mid & Small Cap Equity & Debt Fund-Reg(G),5,9,-7.24,2.3,-3.77,0.0,6.23,15.3,27.05,1067.62,2.09,32972
HDFC Flexi Cap Fund(G),HDFC Mutual Fund,HDFC Flexi Cap Fund(G),HDFC Flexi Cap Fund(G),3,2,3.57,4.67,1.96,6.71,18.15,22.69,31.1,69639.05,1.41,1131
HDFC Flexi Cap Fund(G),Quant Mutual Fund,Quant Flexi Cap Fund(G),Quant Flexi Cap Fund(G),5,12,-0.09,4.87,-6.76,2.08,-2.16,16.98,34.89,6712.15,1.81,6305
HDFC Flexi Cap Fund(G),PPFAS Mutual Fund,Parag Parikh Flexi Cap Fund-Reg(G),Parag Parikh Flexi Cap Fund-Reg(G),5,7,-1.43,1.42,0.21,0.78,13.74,18.55,28.64,93440.89,1.33,21520
HDFC Flexi Cap Fund(G),Franklin Templeton Mutual Fund,Franklin India Flexi Cap Fund(G),Franklin India Flexi Cap Fund(G),4,8,-1.42,3.84,-2.58,3.8,11.56,18.53,28.55,17393.86,1.75,950
HDFC Flexi Cap Fund(G),JM Financial Mutual Fund,JM Flexicap Fund-Reg(G),JM Flexicap Fund-Reg(G),3,1,-8.24,3.74,-7.97,-2.05,7.33,23.36,28.22,5263.18,1.81,6075
ICICI Pru Bluechip Fund(G),ICICI Prudential Mutual Fund,ICICI Pru Bluechip Fund(G),ICICI Pru Bluechip Fund(G),4,5,2.5,3.32,-1.59,4.65,10.08,17.55,25.3,64962.52,1.41,4980
ICICI Pru Bluechip Fund(G),ICICI Prudential Mutual Fund,ICICI Pru Focused Equity Fund(G),ICICI Pru Focused Equity Fund(G),5,1,3.13,4.55,-0.94,7.88,16.02,21.63,28.31,10484.45,1.75,7747
ICICI Pru Bluechip Fund(G),Nippon India Mutual Fund,Nippon India Large Cap Fund(G),Nippon India Large Cap Fund(G),2,2,0.23,3.25,-1.68,3.8,8.43,19.75,27.11,37546.38,1.56,2455
ICICI Pru Bluechip Fund(G),Quant Mutual Fund,Quant Focused Fund(G),Quant Focused Fund(G),Unrated,23,-2.36,3.62,-7.63,-0.6,-4.66,13.22,25.02,1013.18,2.21,5742
ICICI Pru Bluechip Fund(G),HDFC Mutual Fund,HDFC Large Cap Fund(G),HDFC Large Cap Fund(G),1,6,1.8,3.0,-2.64,4.04,7.59,16.54,24.56,36108.73,1.62,1331
ICICI Pru Balanced Advantage Fund(G),ICICI Prudential Mutual Fund,ICICI Pru Balanced Advantage Fund(G),ICICI Pru Balanced Advantage Fund(G),3,5,3.63,3.11,1.74,4.2,10.48,12.7,17.16,60591.13,1.46,1470
ICICI Pru Balanced Advantage Fund(G),HDFC Mutual Fund,HDFC Balanced Advantage Fund(G),HDFC Balanced Advantage Fund(G),4,1,1.01,2.82,-0.02,3.0,9.58,19.37,25.8,94824.34,1.37,1273
ICICI Pru Balanced Advantage Fund(G),Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Balanced Advantage Fund-Reg(G),Baroda BNP Paribas Balanced Advantage Fund-Reg(G),5,3,-0.7,2.77,0.01,2.78,8.58,13.2,17.56,4073.23,1.89,38263
ICICI Pru Balanced Advantage Fund(G),Aditya Birla Sun Life Mutual Fund,Aditya Birla SL Balanced Advantage Fund(G),Aditya Birla SL Balanced Advantage Fund(G),4,7,3.58,3.29,1.62,4.11,11.83,12.52,16.25,7321.44,1.81,1713
ICICI Pru Balanced Advantage Fund(G),Edelweiss Mutual Fund,Edelweiss Balanced Advantage Fund-Reg(G),Edelweiss Balanced Advantage Fund-Reg(G),5,11,0.28,1.97,-1.6,2.42,7.04,11.4,16.1,12239.77,1.68,7912
Kotak Equity Arbitrage Fund(G),Kotak Mahindra Mutual Fund,Kotak Equity Arbitrage Fund(G),Kotak Equity Arbitrage Fund(G),4,2,2.35,0.83,3.68,1.92,7.43,6.92,5.7,60373.17,1.05,1979
Kotak Equity Arbitrage Fund(G),Invesco Mutual Fund,Invesco India Arbitrage Fund(G),Invesco India Arbitrage Fund(G),3,1,2.29,0.79,3.57,1.86,7.33,6.93,5.65,19675.15,1.06,2167
Kotak Equity Arbitrage Fund(G),UTI Mutual Fund,UTI Arbitrage Fund-Reg(G),UTI Arbitrage Fund-Reg(G),4,6,2.38,0.87,3.72,1.95,7.44,6.71,5.54,6614.1,0.75,3660
Kotak Equity Arbitrage Fund(G),Edelweiss Mutual Fund,Edelweiss Arbitrage Fund-Reg(G),Edelweiss Arbitrage Fund-Reg(G),4,4,2.3,0.81,3.63,1.88,7.29,6.73,5.52,14003.17,1.04,27622
Kotak Equity Arbitrage Fund(G),ICICI Prudential Mutual Fund,ICICI Pru Equity-Arbitrage Fund(G),ICICI Pru Equity-Arbitrage Fund(G),3,7,2.36,0.84,3.65,1.9,7.36,6.7,5.5,25726.55,0.89,1467
UTI Nifty 50 ETF,UTI Mutual Fund,UTI Nifty 50 ETF,UTI Nifty 50 ETF,Unrated,69,3.13,3.49,-0.89,4.51,9.45,13.31,22.62,58194.81,0.05,33150
UTI Nifty 50 ETF,Nippon India Mutual Fund,CPSE ETF,CPSE ETF,Unrated,3,5.94,3.84,-3.28,6.75,7.86,34.21,40.12,37632.49,0.07,27621
UTI Nifty 50 ETF,Nippon India Mutual Fund,Nippon India ETF Nifty PSU Bank BeES,Nippon India ETF Nifty PSU Bank BeES,Unrated,2,2.22,9.79,6.23,7.71,-5.52,35.07,38.87,2522.19,0.49,3722
UTI Nifty 50 ETF,Kotak Mahindra Mutual Fund,Kotak Nifty PSU Bank ETF,Kotak Nifty PSU Bank ETF,Unrated,1,2.22,9.79,6.22,7.71,-5.54,35.09,38.81,1375.14,0.49,3723
UTI Nifty 50 ETF,ICICI Prudential Mutual Fund,Bharat 22 ETF,Bharat 22 ETF,Unrated,5,0.04,3.95,-4.52,3.84,4.22,28.25,34.59,17930.29,0.07,38252
Nippon India Small Cap Fund(G),Nippon India Mutual Fund,Nippon India Small Cap Fund(G),Nippon India Small Cap Fund(G),4,4,-9.3,4.12,-8.99,-2.02,6.19,21.57,39.24,55490.73,1.44,12758
Nippon India Small Cap Fund(G),Quant Mutual Fund,Quant Small Cap Fund(G),Quant Small Cap Fund(G),5,7,-7.61,3.19,-8.96,-2.31,-2.74,19.83,48.15,24892.62,1.64,876
Nippon India Small Cap Fund(G),Bandhan Mutual Fund,Bandhan Small Cap Fund-Reg(G),Bandhan Small Cap Fund-Reg(G),Unrated,1,-8.27,3.62,-6.33,-0.86,17.63,25.85,36.28,9516.16,1.72,42342
Nippon India Small Cap Fund(G),HSBC Mutual Fund,HSBC Small Cap Fund-Reg(G),HSBC Small Cap Fund-Reg(G),3,11,-14.27,3.01,-11.71,-4.5,3.9,18.22,35.72,14493.32,1.7,22139
Nippon India Small Cap Fund(G),Bank of India Mutual Fund,Bank of India Small Cap Fund-Reg(G),Bank of India Small Cap Fund-Reg(G),5,9,-9.71,3.56,-7.5,-0.27,10.15,19.14,35.33,1574.18,1.99,41323
ICICI Pru Multi-Asset Fund(G),ICICI Prudential Mutual Fund,ICICI Pru Multi-Asset Fund(G),ICICI Pru Multi-Asset Fund(G),Unrated,2,6.08,2.77,3.3,5.26,13.21,18.23,26.07,55360.32,1.41,1495
ICICI Pru Multi-Asset Fund(G),Quant Mutual Fund,Quant Multi Asset Fund(G),Quant Multi Asset Fund(G),5,4,-1.03,2.91,-1.55,1.45,4.01,16.5,31.38,3182.56,1.88,869
ICICI Pru Multi-Asset Fund(G),Edelweiss Mutual Fund,Edelweiss Aggressive Hybrid Fund-Reg(G),Edelweiss Aggressive Hybrid Fund-Reg(G),Unrated,3,0.0,2.97,-0.67,3.21,12.27,16.59,22.08,2487.15,1.93,7922
ICICI Pru Multi-Asset Fund(G),Tata Mutual Fund,Tata Multi Asset Opp Fund-Reg(G),Tata Multi Asset Opp Fund-Reg(G),Unrated,8,1.26,3.61,0.44,3.78,8.9,13.31,19.1,3554.05,1.81,44648
ICICI Pru Multi-Asset Fund(G),HDFC Mutual Fund,HDFC Multi-Asset Fund(G),HDFC Multi-Asset Fund(G),Unrated,7,4.12,3.64,2.69,4.82,11.67,13.55,18.89,4034.28,1.9,1307
SBI Liquid Fund-Reg(G),SBI Mutual Fund,SBI Liquid Fund-Reg(G),SBI Liquid Fund-Reg(G),4,24,2.27,0.72,3.57,1.83,7.19,6.72,5.38,54569.36,0.31,2828
SBI Liquid Fund-Reg(G),Quant Mutual Fund,Quant Liquid Plan(G),Quant Liquid Plan(G),5,31,2.21,0.66,3.53,1.77,7.04,6.51,5.57,1536.26,0.54,883
SBI Liquid Fund-Reg(G),Bank of India Mutual Fund,Bank of India Liquid Fund-Reg(G),Bank of India Liquid Fund-Reg(G),2,1,2.31,0.73,3.66,1.87,7.36,6.87,5.46,1523.92,0.13,5836
SBI Liquid Fund-Reg(G),Mahindra Manulife Mutual Fund,Mahindra Manulife Liquid Fund-Reg(G),Mahindra Manulife Liquid Fund-Reg(G),5,4,2.27,0.7,3.61,1.83,7.28,6.82,5.46,1025.78,0.26,35846
SBI Liquid Fund-Reg(G),Axis Mutual Fund,Axis Liquid Fund-Reg(G),Axis Liquid Fund-Reg(G),4,2,2.33,0.74,3.67,1.88,7.32,6.84,5.46,32608.9,0.17,8029
HDFC Liquid Fund(G),HDFC Mutual Fund,HDFC Liquid Fund(G),HDFC Liquid Fund(G),2,17,2.31,0.76,3.63,1.87,7.27,6.76,5.37,50517.49,0.32,1286
HDFC Liquid Fund(G),Quant Mutual Fund,Quant Liquid Plan(G),Quant Liquid Plan(G),5,31,2.21,0.66,3.53,1.77,7.04,6.51,5.57,1536.26,0.54,883
HDFC Liquid Fund(G),Bank of India Mutual Fund,Bank of India Liquid Fund-Reg(G),Bank of India Liquid Fund-Reg(G),2,1,2.31,0.73,3.66,1.87,7.36,6.87,5.46,1523.92,0.13,5836
HDFC Liquid Fund(G),Mahindra Manulife Mutual Fund,Mahindra Manulife Liquid Fund-Reg(G),Mahindra Manulife Liquid Fund-Reg(G),5,4,2.27,0.7,3.61,1.83,7.28,6.82,5.46,1025.78,0.26,35846
HDFC Liquid Fund(G),Axis Mutual Fund,Axis Liquid Fund-Reg(G),Axis Liquid Fund-Reg(G),4,2,2.33,0.74,3.67,1.88,7.32,6.84,5.46,32608.9,0.17,8029
SBI BlueChip Fund-Reg(G),SBI Mutual Fund,SBI BlueChip Fund-Reg(G),SBI BlueChip Fund-Reg(G),4,18,1.46,3.25,-1.94,3.66,10.38,14.1,22.63,49394.17,1.5,2711
SBI BlueChip Fund-Reg(G),ICICI Prudential Mutual Fund,ICICI Pru Focused Equity Fund(G),ICICI Pru Focused Equity Fund(G),5,1,3.13,4.55,-0.94,7.88,16.02,21.63,28.31,10484.45,1.75,7747
SBI BlueChip Fund-Reg(G),Nippon India Mutual Fund,Nippon India Large Cap Fund(G),Nippon India Large Cap Fund(G),2,2,0.23,3.25,-1.68,3.8,8.43,19.75,27.11,37546.38,1.56,2455
SBI BlueChip Fund-Reg(G),ICICI Prudential Mutual Fund,ICICI Pru Bluechip Fund(G),ICICI Pru Bluechip Fund(G),4,5,2.5,3.32,-1.59,4.65,10.08,17.55,25.3,64962.52,1.41,4980
SBI BlueChip Fund-Reg(G),Quant Mutual Fund,Quant Focused Fund(G),Quant Focused Fund(G),Unrated,23,-2.36,3.62,-7.63,-0.6,-4.66,13.22,25.02,1013.18,2.21,5742
ICICI Pru Value Discovery Fund(G),ICICI Prudential Mutual Fund,ICICI Pru Value Discovery Fund(G),ICICI Pru Value Discovery Fund(G),4,6,1.82,2.43,-1.84,3.56,12.37,19.83,30.71,49131.17,1.54,1492
ICICI Pru Value Discovery Fund(G),SBI Mutual Fund,SBI Contra Fund-Reg(G),SBI Contra Fund-Reg(G),5,3,-2.29,3.2,-4.17,1.3,6.5,21.28,35.61,42220.04,1.51,2809
ICICI Pru Value Discovery Fund(G),Bandhan Mutual Fund,Bandhan Sterling Value Fund-Reg(G),Bandhan Sterling Value Fund-Reg(G),5,18,-1.83,3.11,-5.0,2.33,6.5,16.23,33.66,9429.55,1.77,4270
ICICI Pru Value Discovery Fund(G),Franklin Templeton Mutual Fund,Templeton India Value Fund(G),Templeton India Value Fund(G),4,11,-0.4,4.26,-4.7,2.55,6.61,18.8,31.97,2078.65,2.1,3379
ICICI Pru Value Discovery Fund(G),HSBC Mutual Fund,HSBC Value Fund-Reg(G),HSBC Value Fund-Reg(G),4,2,-3.6,5.03,-3.77,2.38,10.24,21.46,30.61,12600.37,1.74,8262
Kotak Flexicap Fund(G),Kotak Mahindra Mutual Fund,Kotak Flexicap Fund(G),Kotak Flexicap Fund(G),2,15,0.91,3.87,-0.59,4.77,9.41,15.47,22.63,49130.0,1.47,7874
Kotak Flexicap Fund(G),Quant Mutual Fund,Quant Flexi Cap Fund(G),Quant Flexi Cap Fund(G),5,12,-0.09,4.87,-6.76,2.08,-2.16,16.98,34.89,6712.15,1.81,6305
Kotak Flexicap Fund(G),HDFC Mutual Fund,HDFC Flexi Cap Fund(G),HDFC Flexi Cap Fund(G),3,2,3.57,4.67,1.96,6.71,18.15,22.69,31.1,69639.05,1.41,1131
Kotak Flexicap Fund(G),PPFAS Mutual Fund,Parag Parikh Flexi Cap Fund-Reg(G),Parag Parikh Flexi Cap Fund-Reg(G),5,7,-1.43,1.42,0.21,0.78,13.74,18.55,28.64,93440.89,1.33,21520
Kotak Flexicap Fund(G),Franklin Templeton Mutual Fund,Franklin India Flexi Cap Fund(G),Franklin India Flexi Cap Fund(G),4,8,-1.42,3.84,-2.58,3.8,11.56,18.53,28.55,17393.86,1.75,950
Kotak Emerging Equity Fund(G),Kotak Mahindra Mutual Fund,Kotak Emerging Equity Fund(G),Kotak Emerging Equity Fund(G),4,12,-8.98,3.03,-6.78,-0.92,14.06,18.64,30.51,48128.71,1.46,1977
Kotak Emerging Equity Fund(G),Motilal Oswal Mutual Fund,Motilal Oswal Midcap Fund-Reg(G),Motilal Oswal Midcap Fund-Reg(G),2,1,-16.01,1.33,-9.9,-2.49,15.16,26.35,36.58,26028.34,1.57,22533
Kotak Emerging Equity Fund(G),Quant Mutual Fund,Quant Mid Cap Fund(G),Quant Mid Cap Fund(G),5,13,-3.31,3.51,-7.51,-0.64,-3.26,18.33,34.24,8355.95,1.77,887
Kotak Emerging Equity Fund(G),Nippon India Mutual Fund,Nippon India Growth Fund(G),Nippon India Growth Fund(G),4,3,-4.58,4.67,-4.52,2.41,15.07,23.68,33.74,33174.74,1.58,2573
Kotak Emerging Equity Fund(G),Edelweiss Mutual Fund,Edelweiss Mid Cap Fund-Reg(G),Edelweiss Mid Cap Fund-Reg(G),4,4,-6.58,4.11,-3.87,1.39,18.93,23.04,33.7,8633.85,1.7,3790
UTI BSE Sensex ETF,UTI Mutual Fund,UTI BSE Sensex ETF,UTI BSE Sensex ETF,Unrated,80,2.66,3.5,-0.52,4.29,9.28,12.97,21.77,44416.46,0.05,33151
UTI BSE Sensex ETF,Nippon India Mutual Fund,CPSE ETF,CPSE ETF,Unrated,3,5.94,3.84,-3.28,6.75,7.86,34.21,40.12,37632.49,0.07,27621
UTI BSE Sensex ETF,Nippon India Mutual Fund,Nippon India ETF Nifty PSU Bank BeES,Nippon India ETF Nifty PSU Bank BeES,Unrated,2,2.22,9.79,6.23,7.71,-5.52,35.07,38.87,2522.19,0.49,3722
UTI BSE Sensex ETF,Kotak Mahindra Mutual Fund,Kotak Nifty PSU Bank ETF,Kotak Nifty PSU Bank ETF,Unrated,1,2.22,9.79,6.22,7.71,-5.54,35.09,38.81,1375.14,0.49,3723
UTI BSE Sensex ETF,ICICI Prudential Mutual Fund,Bharat 22 ETF,Bharat 22 ETF,Unrated,5,0.04,3.95,-4.52,3.84,4.22,28.25,34.59,17930.29,0.07,38252
Nippon India ETF Nifty 50 BeES,Nippon India Mutual Fund,Nippon India ETF Nifty 50 BeES,Nippon India ETF Nifty 50 BeES,Unrated,63,3.13,3.49,-0.89,4.52,9.46,13.33,22.64,43548.0,0.04,2272
Nippon India ETF Nifty 50 BeES,Nippon India Mutual Fund,CPSE ETF,CPSE ETF,Unrated,3,5.94,3.84,-3.28,6.75,7.86,34.21,40.12,37632.49,0.07,27621
Nippon India ETF Nifty 50 BeES,Nippon India Mutual Fund,Nippon India ETF Nifty PSU Bank BeES,Nippon India ETF Nifty PSU Bank BeES,Unrated,2,2.22,9.79,6.23,7.71,-5.52,35.07,38.87,2522.19,0.49,3722
Nippon India ETF Nifty 50 BeES,Kotak Mahindra Mutual Fund,Kotak Nifty PSU Bank ETF,Kotak Nifty PSU Bank ETF,Unrated,1,2.22,9.79,6.22,7.71,-5.54,35.09,38.81,1375.14,0.49,3723
Nippon India ETF Nifty 50 BeES,ICICI Prudential Mutual Fund,Bharat 22 ETF,Bharat 22 ETF,Unrated,5,0.04,3.95,-4.52,3.84,4.22,28.25,34.59,17930.29,0.07,38252
ICICI Pru Liquid Fund(G),ICICI Prudential Mutual Fund,ICICI Pru Liquid Fund(G),ICICI Pru Liquid Fund(G),3,15,2.3,0.73,3.62,1.86,7.28,6.77,5.41,42292.67,0.3,1659
ICICI Pru Liquid Fund(G),Quant Mutual Fund,Quant Liquid Plan(G),Quant Liquid Plan(G),5,31,2.21,0.66,3.53,1.77,7.04,6.51,5.57,1536.26,0.54,883
ICICI Pru Liquid Fund(G),Bank of India Mutual Fund,Bank of India Liquid Fund-Reg(G),Bank of India Liquid Fund-Reg(G),2,1,2.31,0.73,3.66,1.87,7.36,6.87,5.46,1523.92,0.13,5836
ICICI Pru Liquid Fund(G),Mahindra Manulife Mutual Fund,Mahindra Manulife Liquid Fund-Reg(G),Mahindra Manulife Liquid Fund-Reg(G),5,4,2.27,0.7,3.61,1.83,7.28,6.82,5.46,1025.78,0.26,35846
ICICI Pru Liquid Fund(G),Axis Mutual Fund,Axis Liquid Fund-Reg(G),Axis Liquid Fund-Reg(G),4,2,2.33,0.74,3.67,1.88,7.32,6.84,5.46,32608.9,0.17,8029
SBI Contra Fund-Reg(G),SBI Mutual Fund,SBI Contra Fund-Reg(G),SBI Contra Fund-Reg(G),5,3,-2.29,3.2,-4.17,1.3,6.5,21.28,35.61,42220.04,1.51,2809
SBI Contra Fund-Reg(G),Bandhan Mutual Fund,Bandhan Sterling Value Fund-Reg(G),Bandhan Sterling Value Fund-Reg(G),5,18,-1.83,3.11,-5.0,2.33,6.5,16.23,33.66,9429.55,1.77,4270
SBI Contra Fund-Reg(G),Franklin Templeton Mutual Fund,Templeton India Value Fund(G),Templeton India Value Fund(G),4,11,-0.4,4.26,-4.7,2.55,6.61,18.8,31.97,2078.65,2.1,3379
SBI Contra Fund-Reg(G),ICICI Prudential Mutual Fund,ICICI Pru Value Discovery Fund(G),ICICI Pru Value Discovery Fund(G),4,6,1.82,2.43,-1.84,3.56,12.37,19.83,30.71,49131.17,1.54,1492
SBI Contra Fund-Reg(G),HSBC Mutual Fund,HSBC Value Fund-Reg(G),HSBC Value Fund-Reg(G),4,2,-3.6,5.03,-3.77,2.38,10.24,21.46,30.61,12600.37,1.74,8262
Aditya Birla SL Liquid Fund(G),Aditya Birla Sun Life Mutual Fund,Aditya Birla SL Liquid Fund(G),Aditya Birla SL Liquid Fund(G),3,6,2.31,0.74,3.64,1.87,7.3,6.81,5.45,41051.49,0.34,293
Aditya Birla SL Liquid Fund(G),Quant Mutual Fund,Quant Liquid Plan(G),Quant Liquid Plan(G),5,31,2.21,0.66,3.53,1.77,7.04,6.51,5.57,1536.26,0.54,883
Aditya Birla SL Liquid Fund(G),Bank of India Mutual Fund,Bank of India Liquid Fund-Reg(G),Bank of India Liquid Fund-Reg(G),2,1,2.31,0.73,3.66,1.87,7.36,6.87,5.46,1523.92,0.13,5836
Aditya Birla SL Liquid Fund(G),Mahindra Manulife Mutual Fund,Mahindra Manulife Liquid Fund-Reg(G),Mahindra Manulife Liquid Fund-Reg(G),5,4,2.27,0.7,3.61,1.83,7.28,6.82,5.46,1025.78,0.26,35846
Aditya Birla SL Liquid Fund(G),Axis Mutual Fund,Axis Liquid Fund-Reg(G),Axis Liquid Fund-Reg(G),4,2,2.33,0.74,3.67,1.88,7.32,6.84,5.46,32608.9,0.17,8029
ICICI Pru Equity & Debt Fund(G),ICICI Prudential Mutual Fund,ICICI Pru Equity & Debt Fund(G),ICICI Pru Equity & Debt Fund(G),5,4,5.26,3.41,1.01,6.12,11.64,18.37,27.26,40961.7,1.59,1482
ICICI Pru Equity & Debt Fund(G),JM Financial Mutual Fund,JM Aggressive Hybrid Fund(G),JM Aggressive Hybrid Fund(G),Unrated,3,-4.88,3.15,-6.22,1.41,7.03,20.73,28.06,767.72,2.29,1847
